date,open,high,low,close,adjClose,volume,dividend,split
2019-12-23,38.85,39.64,37.41,37.8,37.8,2284500,0.0,1.0
2019-12-24,37.72,37.7967,36.62,37.09,37.09,783631,0.0,1.0
2019-12-26,37.3,38.2,37.0,37.96,37.96,1377971,0.0,1.0
2019-12-27,37.9,37.952,35.6107,36.11,36.11,3473770,0.0,1.0
2019-12-30,36.72,37.2,35.4,37.13,37.13,1611179,0.0,1.0
2019-12-31,36.9,37.95,36.7701,37.78,37.78,1460168,0.0,1.0
2020-01-02,38.22,38.25,36.6,36.7,36.7,1784775,0.0,1.0
2020-01-03,36.11,37.699,35.9584,37.42,37.42,1573566,0.0,1.0
2020-01-06,37.51,40.07,37.38,39.9,39.9,5565682,0.0,1.0
2020-01-07,39.95,41.54,39.2,40.06,40.06,4079920,0.0,1.0
2020-01-08,40.3,41.08,39.15,39.95,39.95,1958317,0.0,1.0
2020-01-09,40.45,40.965,39.88,40.21,40.21,1630376,0.0,1.0
2020-01-10,40.55,40.88,39.8417,40.16,40.16,1675832,0.0,1.0
2020-01-13,40.72,43.52,40.6,40.94,40.94,5291224,0.0,1.0
2020-01-14,41.16,41.3992,38.82,39.27,39.27,2403957,0.0,1.0
2020-01-15,39.57,41.49,39.4,40.23,40.23,2098295,0.0,1.0
2020-01-16,40.74,41.7772,39.96,40.61,40.61,2021217,0.0,1.0
2020-01-17,41.2,41.72,40.61,41.19,41.19,1377612,0.0,1.0
2020-01-21,41.18,42.2749,40.47,41.13,41.13,2184877,0.0,1.0
2020-01-22,41.48,42.67,41.2552,42.24,42.24,1167468,0.0,1.0
2020-01-23,42.33,43.25,40.93,42.81,42.81,1799947,0.0,1.0
2020-01-24,43.49,44.03,40.81,42.05,42.05,2572285,0.0,1.0
2020-01-27,40.0,41.33,39.25,41.255,41.255,2053832,0.0,1.0
2020-01-28,41.58,42.21,40.58,42.16,42.16,1229611,0.0,1.0
2020-01-29,42.9,44.99,42.16,43.92,43.92,2818084,0.0,1.0
2020-01-30,43.49,47.2,43.0811,47.04,47.04,2830758,0.0,1.0
2020-01-31,47.13,47.26,45.7387,46.21,46.21,1708920,0.0,1.0
2020-02-03,46.62,47.48,43.51,45.26,45.26,2275921,0.0,1.0
2020-02-04,46.21,48.49,45.73,47.6,47.6,1780497,0.0,1.0
2020-02-05,48.88,49.0762,43.77,45.73,45.73,2455196,0.0,1.0
2020-02-06,45.75,46.3,44.101,46.05,46.05,1081525,0.0,1.0
2020-02-07,46.5,47.98,46.15,47.18,47.18,1765853,0.0,1.0
2020-02-10,47.52,49.0,47.5,47.95,47.95,1537097,0.0,1.0
2020-02-11,48.62,49.42,47.34,47.81,47.81,1884386,0.0,1.0
2020-02-12,48.25,50.12,48.05,50.01,50.01,2199441,0.0,1.0
2020-02-13,49.35,49.47,47.71,48.5,48.5,3361781,0.0,1.0
2020-02-14,45.91,48.69,44.25,47.03,47.03,8374759,0.0,1.0
2020-02-18,47.29,48.58,46.605,47.08,47.08,3049789,0.0,1.0
2020-02-19,47.2,47.86,46.41,47.3,47.3,2877410,0.0,1.0
2020-02-20,45.68,47.03,44.08,45.99,45.99,5201779,0.0,1.0
2020-02-21,45.64,45.79,43.724,45.68,45.68,2696208,0.0,1.0
2020-02-24,43.0,45.35,42.33,44.96,44.96,3187413,0.0,1.0
2020-02-25,45.4,45.602,43.0,44.31,44.31,4406094,0.0,1.0
2020-02-26,44.06,45.39,43.5,43.91,43.91,2819511,0.0,1.0
2020-02-27,42.12,46.58,41.72,45.89,45.89,7190094,0.0,1.0
2020-02-28,43.8,45.84,43.5,45.15,45.15,4483196,0.0,1.0
2020-03-02,45.0,45.78,43.61,44.79,44.79,5881164,0.0,1.0
2020-03-03,44.8,44.86,42.36,43.4,43.4,4483680,0.0,1.0
2020-03-04,44.33,44.9,43.13,44.525,44.525,2239971,0.0,1.0
2020-03-05,43.31,48.12,43.31,47.3,47.3,5074317,0.0,1.0
2020-03-06,46.01,46.44,43.08,43.62,43.62,3987390,0.0,1.0
2020-03-09,38.78,40.0,37.37,38.82,38.82,9150122,0.0,1.0
2020-03-10,39.75,39.85,36.45,38.0,38.0,13106274,0.0,1.0
2020-03-11,37.31,37.71,34.79,35.56,35.56,6249069,0.0,1.0
2020-03-12,32.46,34.93,31.0,33.1,33.1,6687304,0.0,1.0
2020-03-13,36.0,36.6,32.0,35.26,35.26,5704742,0.0,1.0
2020-03-16,32.0,33.18,28.88,28.96,28.96,4915538,0.0,1.0
2020-03-17,29.53,34.44,29.31,34.12,34.12,4476827,0.0,1.0
2020-03-18,30.85,33.88,30.46,32.08,32.08,3133763,0.0,1.0
2020-03-19,32.0,33.77,31.3,33.1,33.1,4076217,0.0,1.0
2020-03-20,33.54,35.12,33.01,33.38,33.38,5349735,0.0,1.0
2020-03-23,34.1,34.1,30.63,32.9,32.9,4407902,0.0,1.0
2020-03-24,34.05,35.39,33.75,34.49,34.49,3495732,0.0,1.0
2020-03-25,34.11,36.89,33.6,33.69,33.69,3049103,0.0,1.0
2020-03-26,34.07,35.93,33.41,34.3,34.3,4155146,0.0,1.0
2020-03-27,34.29,35.24,33.1424,34.55,34.55,2892455,0.0,1.0
2020-03-30,35.45,35.655,33.75,34.75,34.75,2321368,0.0,1.0
2020-03-31,34.5,36.54,34.36,35.98,35.98,3222255,0.0,1.0
2020-04-01,34.83,37.0,34.31,34.88,34.88,2855247,0.0,1.0
2020-04-02,34.9,35.87,33.6201,34.6,34.6,1865959,0.0,1.0
2020-04-03,34.5,35.344,33.04,34.69,34.69,2627168,0.0,1.0
2020-04-06,35.44,36.45,35.1,36.28,36.28,2187606,0.0,1.0
2020-04-07,37.0,37.24,35.01,35.9,35.9,2920789,0.0,1.0
2020-04-08,36.1,37.89,35.4,37.15,37.15,4113152,0.0,1.0
2020-04-09,37.0,37.49,36.35,36.95,36.95,2737154,0.0,1.0
2020-04-13,37.69,38.35,37.42,37.87,37.87,3050737,0.0,1.0
2020-04-14,38.57,39.1159,38.25,38.91,38.91,2726005,0.0,1.0
2020-04-15,38.58,39.36,38.02,38.74,38.74,2956205,0.0,1.0
2020-04-16,39.1,39.92,38.72,39.64,39.64,2895817,0.0,1.0
2020-04-17,40.0,40.6686,38.55,40.4,40.4,3179990,0.0,1.0
2020-04-20,39.97,42.5851,39.97,40.99,40.99,2934331,0.0,1.0
2020-04-21,41.03,41.6837,38.14,40.0,40.0,3063302,0.0,1.0
2020-04-22,40.56,41.43,40.26,40.29,40.29,1886353,0.0,1.0
2020-04-23,40.01,41.0,38.68,40.15,40.15,1540703,0.0,1.0
2020-04-24,40.89,42.1,40.23,41.81,41.81,2781973,0.0,1.0
2020-04-27,42.25,43.43,42.0,43.23,43.23,1619726,0.0,1.0
2020-04-28,43.56,44.23,41.8,43.6,43.6,2260345,0.0,1.0
2020-04-29,43.85,45.14,43.74,44.65,44.65,1961155,0.0,1.0
2020-04-30,44.93,45.28,44.44,45.12,45.12,1734659,0.0,1.0
2020-05-01,44.0,45.47,43.133,44.98,44.98,2091955,0.0,1.0
2020-05-04,44.9,46.13,43.81,45.83,45.83,2499311,0.0,1.0
2020-05-05,46.33,47.34,46.01,46.6,46.6,3277065,0.0,1.0
2020-05-06,47.0,47.28,46.01,46.56,46.56,2195565,0.0,1.0
2020-05-07,47.5,50.09,47.26,49.61,49.61,4854477,0.0,1.0
2020-05-08,51.325,52.2356,49.58,51.73,51.73,5233363,0.0,1.0
2020-05-11,52.99,57.18,52.6,55.69,55.69,10262785,0.0,1.0
2020-05-12,61.87,70.12,61.05,68.86,68.86,24947327,0.0,1.0
2020-05-13,66.64,72.15,64.6131,69.99,69.99,13535327,0.0,1.0
2020-05-14,66.38,67.25,62.12,65.19,65.19,13375032,0.0,1.0
2020-05-15,65.0,69.22,64.94,67.16,67.16,6688476,0.0,1.0
2020-05-18,69.0,69.77,66.86,67.41,67.41,4062797,0.0,1.0
2020-05-19,67.75,71.42,67.4601,70.06,70.06,4009379,0.0,1.0
2020-05-20,71.01,71.79,69.26,70.7,70.7,3189666,0.0,1.0
2020-05-21,70.0,70.98,68.45,69.89,69.89,2327714,0.0,1.0
2020-05-22,70.05,74.0,70.0,73.04,73.04,4724399,0.0,1.0
2020-05-26,74.59,75.0,67.51,71.0,71.0,5207838,0.0,1.0
2020-05-27,69.85,70.1319,62.5,66.82,66.82,6837153,0.0,1.0
2020-05-28,64.9,70.2,64.6,67.13,67.13,4244831,0.0,1.0
2020-05-29,68.76,71.47,67.5,71.27,71.27,12946333,0.0,1.0
2020-06-01,70.61,72.16,69.25,69.49,69.49,5487725,0.0,1.0
2020-06-02,69.49,72.09,67.18,70.81,70.81,4859499,0.0,1.0
2020-06-03,70.78,73.48,69.31,72.89,72.89,3133183,0.0,1.0
2020-06-04,73.13,73.7,69.44,71.76,71.76,5502505,0.0,1.0
2020-06-05,69.95,72.08,68.21,70.66,70.66,3433710,0.0,1.0
2020-06-08,71.38,77.69,70.08,76.54,76.54,5918736,0.0,1.0
2020-06-09,76.39,78.49,73.58,73.74,73.74,4048412,0.0,1.0
2020-06-10,75.72,79.18,75.32,78.26,78.26,3476796,0.0,1.0
2020-06-11,76.12,79.4,75.18,76.05,76.05,3803601,0.0,1.0
2020-06-12,77.9,80.62,76.27,78.05,78.05,3672897,0.0,1.0
2020-06-15,78.15,83.2,77.63,81.52,81.52,4513988,0.0,1.0
2020-06-16,82.04,84.45,80.55,81.99,81.99,4656786,0.0,1.0
2020-06-17,83.37,84.99,82.25,83.04,83.04,4969476,0.0,1.0
2020-06-18,83.88,87.115,82.12,86.65,86.65,6667680,0.0,1.0
2020-06-19,88.25,89.57,85.2,86.79,86.79,8109076,0.0,1.0
2020-06-22,87.67,89.6,87.08,89.01,89.01,4979785,0.0,1.0
2020-06-23,90.0,93.0,87.89,89.69,89.69,6748404,0.0,1.0
2020-06-24,90.06,92.89,86.451,88.5,88.5,4140682,0.0,1.0
2020-06-25,88.14,91.552,86.69,89.6,89.6,3215068,0.0,1.0
2020-06-26,90.56,91.08,83.8,84.5,84.5,14063118,0.0,1.0
2020-06-29,85.02,85.24,80.09,83.72,83.72,4920944,0.0,1.0
2020-06-30,84.29,87.17,83.77,86.95,86.95,2752208,0.0,1.0
2020-07-01,87.19,89.75,86.01,89.38,89.38,2447299,0.0,1.0
2020-07-02,90.5,91.07,88.34,89.59,89.59,4516665,0.0,1.0
2020-07-06,91.35,92.6,88.02,88.96,88.96,5769351,0.0,1.0
2020-07-07,90.01,92.17,88.55,90.09,90.09,2917141,0.0,1.0
2020-07-08,91.85,96.84,91.0,96.13,96.13,3914872,0.0,1.0
2020-07-09,97.99,98.99,93.17,96.1,96.1,4908891,0.0,1.0
2020-07-10,96.82,98.14,95.125,96.41,96.41,4140959,0.0,1.0
2020-07-13,97.77,98.64,85.665,86.66,86.66,5577929,0.0,1.0
2020-07-14,87.6,90.83,83.0,88.89,88.89,3781106,0.0,1.0
2020-07-15,88.97,90.93,85.49,88.48,88.48,3157847,0.0,1.0
2020-07-16,87.65,87.9,83.38,85.315,85.315,3390448,0.0,1.0
2020-07-17,85.6,87.86,85.31,87.3,87.3,3224951,0.0,1.0
2020-07-20,88.31,93.14,88.1,92.14,92.14,3404725,0.0,1.0
2020-07-21,92.77,93.0,89.34,90.72,90.72,4390669,0.0,1.0
2020-07-22,90.88,92.36,88.53,89.5,89.5,1578511,0.0,1.0
2020-07-23,88.85,91.3,83.5705,85.22,85.22,3378937,0.0,1.0
2020-07-24,83.4,86.7499,81.5413,84.84,84.84,2244202,0.0,1.0
2020-07-27,86.2,88.58,85.675,87.83,87.83,1782489,0.0,1.0
2020-07-28,87.72,89.72,87.06,88.28,88.28,1311166,0.0,1.0
2020-07-29,89.22,90.87,87.28,90.13,90.13,1968244,0.0,1.0
2020-07-30,89.79,94.07,89.79,92.76,92.76,2349409,0.0,1.0
2020-07-31,94.7881,95.0,91.2,93.86,93.86,2430564,0.0,1.0
2020-08-03,95.82,96.67,93.67,95.67,95.67,4632820,0.0,1.0
2020-08-04,95.76,96.15,92.13,94.22,94.22,2848109,0.0,1.0
2020-08-05,94.31,95.36,91.7,94.32,94.32,2906196,0.0,1.0
2020-08-06,92.72,93.37,87.315,90.01,90.01,8160562,0.0,1.0
2020-08-07,82.6,83.75,74.11,75.28,75.28,18906504,0.0,1.0
2020-08-10,77.61,78.96,72.6,76.365,76.365,7820066,0.0,1.0
2020-08-11,75.31,78.76,75.0,75.68,75.68,6876443,0.0,1.0
2020-08-12,76.0,78.65,75.91,76.61,76.61,3854286,0.0,1.0
2020-08-13,77.84,84.5701,76.92,82.42,82.42,10101658,0.0,1.0
2020-08-14,83.0,84.2699,79.82,81.24,81.24,2984739,0.0,1.0
2020-08-17,81.61,83.75,81.16,83.45,83.45,3130159,0.0,1.0
2020-08-18,83.09,83.89,81.6038,83.46,83.46,3403927,0.0,1.0
2020-08-19,83.05,83.56,81.43,82.47,82.47,2405904,0.0,1.0
2020-08-20,82.26,86.6,82.0,85.78,85.78,3341541,0.0,1.0
2020-08-21,85.52,86.7,84.66,86.12,86.12,2487232,0.0,1.0
2020-08-24,87.01,87.26,82.06,84.34,84.34,2701970,0.0,1.0
2020-08-25,83.67,84.75,82.17,83.77,83.77,2164321,0.0,1.0
2020-08-26,85.77,89.47,85.101,86.28,86.28,4652805,0.0,1.0
2020-08-27,86.28,86.468,82.03,83.54,83.54,3295848,0.0,1.0
2020-08-28,82.7414,86.25,81.53,82.98,82.98,4285308,0.0,1.0
2020-08-31,83.49,83.72,81.56,83.55,83.55,4829077,0.0,1.0
2020-09-01,83.99,87.49,82.5,85.77,85.77,4395591,0.0,1.0
2020-09-02,87.91,88.0,81.78,84.19,84.19,3767494,0.0,1.0
2020-09-03,81.5,81.78,76.28,80.1,80.1,7202825,0.0,1.0
2020-09-04,78.5,80.46,75.55,79.57,79.57,4659988,0.0,1.0
2020-09-08,77.0,81.46,75.7512,79.98,79.98,3848680,0.0,1.0
2020-09-09,81.53,83.37,79.51,81.98,81.98,3190831,0.0,1.0
2020-09-10,82.2,84.55,80.29,80.67,80.67,2952078,0.0,1.0
2020-09-11,81.5,83.2985,78.61,80.36,80.36,4335389,0.0,1.0
2020-09-14,81.44,84.85,80.3355,84.39,84.39,4202090,0.0,1.0
2020-09-15,85.06,89.43,85.03,88.54,88.54,5935530,0.0,1.0
2020-09-16,88.2,92.75,88.1768,89.38,89.38,5167845,0.0,1.0
2020-09-17,85.56,88.29,85.49,87.25,87.25,3831727,0.0,1.0
2020-09-18,88.44,88.7399,84.51,85.69,85.69,14273120,0.0,1.0
2020-09-21,84.39,88.7,80.27,88.14,88.14,5630495,0.0,1.0
2020-09-22,88.33,93.5,85.81,93.41,93.41,6512570,0.0,1.0
2020-09-23,91.98,94.9,90.66,91.1,91.1,4138187,0.0,1.0
2020-09-24,88.79,90.73,87.28,88.37,88.37,1999286,0.0,1.0
2020-09-25,89.0,90.89,87.62,90.65,90.65,1624432,0.0,1.0
2020-09-28,91.86,95.32,91.2,92.25,92.25,3286177,0.0,1.0
2020-09-29,92.06,93.5399,90.3901,90.92,90.92,2264733,0.0,1.0
2020-09-30,90.92,107.99,89.43,102.16,102.16,28819045,0.0,1.0
2020-10-01,101.43,105.5,98.63,103.51,103.51,11446218,0.0,1.0
2020-10-02,101.31,108.2034,100.92,103.49,103.49,8513770,0.0,1.0
2020-10-05,104.75,108.1,103.71,106.89,106.89,4459177,0.0,1.0
2020-10-06,106.89,109.6,102.14,103.92,103.92,4509984,0.0,1.0
2020-10-07,105.43,109.2199,104.4,104.43,104.43,4579828,0.0,1.0
2020-10-08,105.26,105.95,101.81,102.66,102.66,2882603,0.0,1.0
2020-10-09,104.65,114.55,103.52,111.79,111.79,10875158,0.0,1.0
2020-10-12,112.25,113.6379,108.83,112.2,112.2,4617455,0.0,1.0
2020-10-13,112.65,118.13,112.0501,116.87,116.87,4756643,0.0,1.0
2020-10-14,117.55,117.8,112.3,113.55,113.55,2923780,0.0,1.0
2020-10-15,107.2,114.09,104.55,113.29,113.29,3787415,0.0,1.0
2020-10-16,114.84,116.37,111.74,112.36,112.36,2166131,0.0,1.0
2020-10-19,112.25,113.75,110.4,111.66,111.66,2858490,0.0,1.0
2020-10-20,112.31,112.4699,107.74,108.59,108.59,2585828,0.0,1.0
2020-10-21,110.0,110.2,100.04,102.17,102.17,6148635,0.0,1.0
2020-10-22,102.87,103.7899,98.57,98.94,98.94,2970331,0.0,1.0
2020-10-23,99.61,102.89,97.35,102.08,102.08,2949512,0.0,1.0
2020-10-26,100.65,104.53,96.11,99.76,99.76,3296132,0.0,1.0
2020-10-27,101.2496,103.9241,100.5314,101.33,101.33,1588881,0.0,1.0
2020-10-28,99.25,99.7,96.6,97.03,97.03,2230864,0.0,1.0
2020-10-29,97.99,98.19,95.13,96.41,96.41,2424735,0.0,1.0
2020-10-30,94.86,95.4499,90.54,90.75,90.75,3737743,0.0,1.0
2020-11-02,91.78,91.79,86.66,88.33,88.33,4567163,0.0,1.0
2020-11-03,88.53,90.77,86.5,90.14,90.14,2521618,0.0,1.0
2020-11-04,95.76,99.99,95.256,97.62,97.62,3660549,0.0,1.0
2020-11-05,102.2573,103.95,99.65,101.95,101.95,2745838,0.0,1.0
2020-11-06,102.0,102.58,98.88,100.35,100.35,2529577,0.0,1.0
2020-11-09,98.76,101.0,93.05,94.89,94.89,3434030,0.0,1.0
2020-11-10,94.71,96.25,88.59,92.6,92.6,6383800,0.0,1.0
2020-11-11,85.15,87.13,79.76,86.83,86.83,25348588,0.0,1.0
2020-11-12,88.08,90.3,87.08,90.01,90.01,6626820,0.0,1.0
2020-11-13,87.89,89.16,83.89,85.82,85.82,5765853,0.0,1.0
2020-11-16,83.41,87.4204,82.38,86.36,86.36,3006134,0.0,1.0
2020-11-17,87.35,88.91,85.53,88.09,88.09,3885825,0.0,1.0
2020-11-18,88.0,89.95,85.74,87.3,87.3,2574568,0.0,1.0
2020-11-19,87.15,91.95,87.13,88.89,88.89,3996408,0.0,1.0
2020-11-20,89.68,91.24,89.03,89.09,89.09,2339651,0.0,1.0
2020-11-23,89.78,91.64,88.3,91.04,91.04,2162790,0.0,1.0
2020-11-24,90.315,90.84,87.3,89.18,89.18,3038459,0.0,1.0
2020-11-25,89.39,93.92,88.95,93.51,93.51,3036860,0.0,1.0
2020-11-27,95.0,96.8,94.18,96.42,96.42,1907728,0.0,1.0
2020-11-30,97.01,99.565,94.1,98.92,98.92,4749938,0.0,1.0
2020-12-01,98.6,98.8,94.02,95.67,95.67,3319473,0.0,1.0
2020-12-02,93.77,93.9,90.13,93.5,93.5,3099746,0.0,1.0
2020-12-03,95.09,98.84,94.19,97.36,97.36,2732293,0.0,1.0
2020-12-04,97.75,102.3999,97.6677,101.57,101.57,3780506,0.0,1.0
2020-12-07,101.9,102.64,98.23,99.16,99.16,2605883,0.0,1.0
2020-12-08,99.39,100.18,96.23,99.85,99.85,2346185,0.0,1.0
2020-12-09,100.0,100.75,94.75,95.65,95.65,2126233,0.0,1.0
2020-12-10,94.51,103.77,93.9171,101.53,101.53,4715751,0.0,1.0
2020-12-11,99.57,100.96,96.36,98.98,98.98,3823574,0.0,1.0
2020-12-14,100.0,103.43,99.62,102.27,102.27,4326462,0.0,1.0
2020-12-15,103.0797,105.63,99.8998,101.23,101.23,4433780,0.0,1.0
2020-12-16,101.5325,105.0,101.3,104.55,104.55,3897534,0.0,1.0
2020-12-17,105.53,109.85,105.13,108.7,108.7,4687735,0.0,1.0
2020-12-18,109.24,109.61,107.03,107.72,107.72,7520043,0.0,1.0
2020-12-21,105.97,107.1712,103.34,106.46,106.46,2702091,0.0,1.0
2020-12-22,107.96,111.08,106.85,111.07,111.07,2941274,0.0,1.0
2020-12-23,110.71,111.49,107.4,107.44,107.44,1587547,0.0,1.0
2020-12-24,107.04,109.85,106.111,106.28,106.28,785662,0.0,1.0
2020-12-28,107.27,107.98,99.7,100.22,100.22,2654609,0.0,1.0
2020-12-29,100.78,100.95,97.45,98.92,98.92,2267745,0.0,1.0
2020-12-30,99.9707,101.43,98.5,99.31,99.31,1732682,0.0,1.0
2020-12-31,98.6,99.33,96.6,98.44,98.44,1743528,0.0,1.0
2021-01-04,98.69,98.83,90.8,91.23,91.23,6408029,0.0,1.0
2021-01-05,92.0,93.36,89.832,93.03,93.03,3072508,0.0,1.0
2021-01-06,91.25,93.97,90.25,91.33,91.33,3538748,0.0,1.0
2021-01-07,92.1,96.65,92.1,96.64,96.64,3316363,0.0,1.0
2021-01-08,97.55,100.25,97.5,99.94,99.94,2564963,0.0,1.0
2021-01-11,101.75,107.7399,99.7752,104.25,104.25,4315972,0.0,1.0
2021-01-12,104.28,107.49,104.0,105.58,105.58,2464855,0.0,1.0
2021-01-13,105.0,105.82,102.06,104.85,104.85,1746810,0.0,1.0
2021-01-14,105.41,106.2072,101.16,101.84,101.84,2129108,0.0,1.0
2021-01-15,102.3,104.8,99.47,99.84,99.84,1459652,0.0,1.0
2021-01-19,100.98,101.09,97.22,99.09,99.09,2070471,0.0,1.0
2021-01-20,101.35,105.55,100.6,104.28,104.28,3553340,0.0,1.0
2021-01-21,105.095,105.37,101.76,103.34,103.34,1896676,0.0,1.0
2021-01-22,102.8,109.62,102.3,105.0,105.0,3371405,0.0,1.0
2021-01-25,106.368,112.29,104.05,108.97,108.97,7332455,0.0,1.0
2021-01-26,109.37,109.68,102.426,103.52,103.52,2567176,0.0,1.0
2021-01-27,102.185,104.1,98.0,98.0,98.0,4430483,0.0,1.0
2021-01-28,98.04,101.91,96.5,100.0,100.0,3308138,0.0,1.0
2021-01-29,99.51,103.09,97.0001,102.75,102.75,3813230,0.0,1.0
2021-02-01,103.47,105.04,100.65,101.79,101.79,3691869,0.0,1.0
2021-02-02,103.81,107.38,102.695,106.01,106.01,3352825,0.0,1.0
2021-02-03,107.5,111.6524,106.5267,110.52,110.52,3462175,0.0,1.0
2021-02-04,111.99,113.5711,107.5302,111.92,111.92,2544093,0.0,1.0
2021-02-05,111.38,115.64,110.9433,114.9,114.9,3164711,0.0,1.0
2021-02-08,115.8918,116.94,113.7,116.42,116.42,2820275,0.0,1.0
2021-02-09,116.48,119.433,116.2653,117.85,117.85,2904334,0.0,1.0
2021-02-10,118.51,119.03,111.76,115.55,115.55,2096333,0.0,1.0
2021-02-11,116.59,117.92,114.7301,117.6,117.6,3777476,0.0,1.0
2021-02-12,111.75,113.59,108.01,112.86,112.86,5238759,0.0,1.0
2021-02-16,111.43,114.0,105.62,107.56,107.56,4087874,0.0,1.0
2021-02-17,103.5,105.34,100.5,103.08,103.08,5520190,0.0,1.0
